Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.350000,26.600000,24.799999,18.150352,24.875000,3137354
2000-01-04,24.900000,24.900000,23.860001,17.457172,23.924999,4489508
2000-01-05,23.469999,23.750000,22.959999,17.055859,23.375000,4809958
2000-01-06,23.389999,24.174999,23.139999,17.522844,24.014999,3306128
2000-01-07,24.275000,25.174999,23.900000,18.241558,25.000000,4621272
2000-01-10,25.549999,25.620001,24.799999,18.321825,25.110001,2576028
2000-01-11,25.025000,25.025000,23.875000,17.508249,23.995001,4773052
2000-01-12,23.875000,24.200001,23.629999,17.511898,24.000000,2351408
2000-01-13,23.924999,24.299999,23.450001,17.329481,23.750000,2482930
2000-01-14,23.945000,24.240000,23.700001,17.329481,23.750000,2784548
2000-01-17,23.799999,24.315001,23.799999,17.464470,23.934999,2656820
2000-01-18,23.965000,24.240000,23.700001,17.493658,23.975000,2739182
2000-01-19,23.825001,24.985001,23.809999,18.183189,24.920000,4004404
2000-01-20,24.950001,25.000000,24.415001,18.022665,24.700001,2205138
2000-01-21,24.400000,24.575001,23.750000,17.530138,24.025000,3534942
2000-01-24,24.049999,24.174999,23.405001,17.212736,23.590000,1889060
2000-01-25,23.375000,23.400000,22.625000,16.508610,22.625000,3323216
2000-01-26,22.900000,23.084999,21.750000,16.059872,22.010000,4562228
2000-01-27,22.010000,22.495001,21.660000,16.253231,22.275000,4552184
2000-01-28,22.424999,22.985001,21.965000,16.508610,22.625000,2828366
2000-01-31,22.450001,22.450001,21.754999,16.070816,22.025000,3176436
2000-02-01,22.385000,22.385000,20.905001,15.330209,21.010000,5474216
2000-02-02,21.495001,22.500000,21.129999,16.417406,22.500000,4979456
2000-02-03,22.495001,23.094999,21.705000,15.924882,21.825001,5097152
2000-02-04,21.934999,22.235001,21.155001,15.713280,21.535000,3334640
2000-02-07,21.400000,21.450001,20.610001,15.231702,20.875000,3709496
2000-02-08,21.075001,21.639999,20.875000,15.705984,21.525000,4316328
2000-02-09,21.750000,22.700001,21.459999,15.724225,21.549999,4573714
2000-02-10,21.400000,22.000000,21.049999,16.052572,22.000000,3617828
2000-02-11,22.000000,22.725000,21.525000,16.100000,22.065001,5987866
2000-02-14,21.875000,22.475000,21.299999,15.760709,21.600000,2983316
2000-02-15,21.725000,21.825001,20.495001,14.954432,20.495001,3644370
2000-02-16,21.000000,21.995001,20.910000,16.048923,21.995001,4771744
2000-02-17,22.195000,23.445000,22.049999,16.964653,23.250000,5374480
2000-02-18,23.495001,24.045000,23.355000,17.293001,23.700001,5644034
2000-02-21,23.299999,23.549999,22.900000,17.147068,23.500000,2155528
2000-02-22,23.105000,23.400000,22.760000,16.964653,23.250000,3450000
2000-02-23,23.275000,24.100000,23.275000,17.198145,23.570000,3523542
2000-02-24,23.825001,23.825001,22.549999,16.745752,22.950001,2818076
2000-02-25,23.000000,23.000000,22.299999,16.475779,22.580000,2533538
2000-02-28,22.299999,23.775000,21.975000,17.110586,23.450001,3393016
2000-02-29,23.750000,24.225000,22.975000,17.475418,23.950001,3165144
2000-03-01,23.600000,24.195000,22.375000,16.855204,23.100000,5935130
2000-03-02,23.125000,23.450001,22.389999,17.110586,23.450001,3471236
2000-03-03,23.299999,23.400000,22.490000,16.566986,22.705000,2600134
2000-03-06,22.900000,23.230000,22.450001,16.873444,23.125000,3349786
2000-03-07,23.000000,23.120001,22.165001,16.344440,22.400000,3693850
2000-03-08,22.975000,23.040001,22.504999,16.654545,22.825001,3783566
2000-03-09,22.924999,23.225000,22.650000,16.705622,22.895000,3569482
2000-03-10,22.700001,23.350000,22.629999,16.855204,23.100000,2546618
2000-03-13,23.000000,23.700001,22.809999,17.019375,23.325001,3576296
2000-03-14,23.350000,24.215000,23.250000,17.457172,23.924999,5693460
2000-03-15,23.510000,24.410000,23.325001,17.293001,23.700001,3916454
2000-03-16,24.100000,24.500000,23.950001,17.836597,24.445000,4706974
2000-03-17,24.750000,25.000000,24.145000,18.241558,25.000000,50860560
2000-03-20,24.955000,25.180000,24.424999,18.022665,24.700001,5332800
2000-03-21,24.500000,24.750000,23.924999,17.767282,24.350000,5705978
2000-03-22,24.500000,25.275000,24.500000,17.931454,24.575001,6519602
2000-03-23,24.600000,24.850000,24.150000,17.913214,24.549999,4485032
2000-03-24,24.940001,25.100000,24.610001,18.168594,24.900000,4569272
2000-03-27,24.995001,25.045000,24.450001,17.967936,24.625000,3680956
2000-03-28,24.525000,24.905001,24.450001,17.876728,24.500000,4383012
2000-03-29,24.299999,24.850000,24.049999,18.132113,24.850000,4214434
2000-03-30,24.750000,24.875000,24.389999,17.993475,24.660000,2380518
2000-03-31,24.700001,24.945000,24.549999,18.077387,24.775000,2586822
2000-04-03,24.750000,24.825001,24.250000,17.803762,24.400000,3454496
2000-04-04,24.500000,25.410000,24.475000,18.489645,25.340000,3148342
2000-04-05,25.000000,25.340000,23.950001,18.040903,24.725000,5299600
2000-04-06,24.625000,24.844999,23.855000,17.511898,24.000000,3292982
2000-04-07,24.000000,24.020000,23.540001,17.329481,23.750000,3147864
2000-04-10,23.750000,23.980000,23.500000,17.201794,23.575001,2418582
2000-04-11,23.645000,24.115000,23.615000,17.387856,23.830000,3144280
2000-04-12,24.049999,24.750000,24.000000,17.982533,24.645000,2976542
2000-04-13,24.455000,24.895000,24.400000,18.132113,24.850000,2870928
2000-04-14,24.475000,24.975000,23.889999,17.745388,24.320000,2972732
2000-04-17,23.500000,24.299999,23.200001,17.639589,24.174999,4182086
2000-04-18,24.080000,24.325001,23.200001,17.260166,23.655001,3483522
2000-04-19,23.799999,23.830000,22.650000,16.599821,22.750000,3176436
2000-04-20,22.754999,23.375000,22.750000,16.785885,23.004999,4574714
2000-04-21,23.004999,23.004999,23.004999,16.785885,23.004999,0
2000-04-24,23.004999,23.004999,23.004999,16.785885,23.004999,0
2000-04-25,23.049999,24.075001,23.049999,17.420689,23.875000,4449568
2000-04-26,24.225000,24.700001,24.000000,17.803762,24.400000,3547366
2000-04-27,24.450001,24.799999,23.725000,17.876728,24.500000,6787722
2000-04-28,24.000000,24.125000,23.350000,17.544733,24.045000,3866916
2000-05-01,24.045000,24.045000,24.045000,17.544733,24.045000,0
2000-05-02,24.500000,24.500000,23.650000,17.384209,23.825001,2208682
2000-05-03,23.750000,24.155001,23.525000,17.347723,23.775000,2065828
2000-05-04,23.559999,24.385000,23.445000,17.694311,24.250000,2737716
2000-05-05,24.674999,24.875000,23.450001,17.822004,24.424999,3895664
2000-05-08,24.430000,24.700001,23.950001,17.876728,24.500000,2717260
2000-05-09,24.500000,24.500000,24.500000,17.876728,24.500000,0
2000-05-10,24.750000,25.040001,24.254999,17.840248,24.450001,2054014
2000-05-11,24.125000,24.770000,23.809999,17.880377,24.504999,1944176
2000-05-12,24.500000,24.795000,24.150000,17.887674,24.514999,1373290
2000-05-15,24.379999,24.740000,23.900000,17.486359,23.965000,1785182
2000-05-16,24.299999,24.690001,23.934999,17.887674,24.514999,2630960
2000-05-17,24.695000,24.695000,24.010000,17.584866,24.100000,1622188
2000-05-18,24.025000,24.365000,23.975000,17.676075,24.225000,1585882
2000-05-19,24.000000,24.299999,23.655001,17.329481,23.750000,4170180
2000-05-22,23.605000,23.750000,23.135000,17.212736,23.590000,2773968
2000-05-23,23.875000,23.879999,23.275000,17.311243,23.725000,1929282
2000-05-24,23.450001,23.945000,23.450001,17.190849,23.559999,2216712
2000-05-25,23.799999,23.799999,22.850000,16.782236,23.000000,2159984
2000-05-26,22.754999,23.125000,22.500000,16.417406,22.500000,2747986
2000-05-29,22.700001,22.995001,22.549999,16.581581,22.725000,814720
2000-05-30,22.750000,22.875000,22.405001,16.512260,22.629999,1612020
2000-05-31,22.625000,22.650000,21.105000,15.997848,21.924999,5661290
2000-06-01,21.924999,22.275000,21.250000,16.125542,22.100000,1952880
2000-06-02,22.340000,23.500000,21.754999,16.804125,23.030001,3997748
